season,full_name,epa,value_per_game
2022,J.Gillan,-9.87952,0.0
2022,J.Goff,80.32299,4.7248816
2022,J.Gordon,-0.48844737,0.0
2022,J.Guyton,4.2640324,0.25082543
2022,J.Harris,2.7706954,0.16298209
2022,J.Hasty,-0.9277768,0.0
2022,J.Herbert,23.426443,1.378026
2022,J.Hill,-1.2270502,0.0
2022,J.Horsted,0.026683688,0.0015696287
2022,J.Howard,-0.47619748,0.0
2022,J.Hurts,112.022064,6.5895333
2022,J.Jackson,-7.0273247,0.0
2022,J.Jacobs,0.6267855,0.036869735
2022,J.Jefferson,78.90844,4.641673
2022,J.Jennings,19.21384,1.1302259
2022,J.Jeudy,48.883896,2.8755233
2022,J.Johnson,1.1285143,0.06638319
2022,J.Jones,13.927822,0.81928366
2022,J.Kelley,-4.6940107,0.0
2022,J.Kumerow,2.8402734,0.1670749
2022,J.Landry,-7.7413425,0.0
2022,J.Love,3.5308604,0.20769767
2022,J.Mason,2.812921,0.16546595
2022,J.McKinnon,10.1644745,0.5979103
2022,J.McKissic,-21.779358,0.0
2022,J.Meyers,38.084038,2.2402375
2022,J.Mitchell,10.009731,0.5888077
2022,J.Mixon,1.2555866,0.07385804
2022,J.Moore,-0.7422924,0.0
2022,J.Mundt,6.1904564,0.3641445
2022,J.Nailor,7.6967583,0.45275047
2022,J.Oliver,7.014414,0.4126126
2022,J.Palmer,23.76314,1.3978318
2022,J.Patterson,-1.8871953,0.0
2022,J.Proche,-13.670574,0.0
2022,J.Reagor,2.614759,0.15380935
2022,J.Reynolds,11.604702,0.6826295
2022,J.Robinson,-13.093315,0.0
2022,J.Ruckert,0.0478611,0.0028153588
2022,J.Smith,7.8806167,0.46356568
2022,J.Smith-Schuster,52.543793,3.0908113
2022,J.Stidham,-0.30539894,0.0
2022,J.Stoll,7.7900276,0.45823693
2022,J.Taylor,-50.804626,0.0
2022,J.Tolbert,-0.6873334,0.0
2022,J.Tonges,-0.56882393,0.0
2022,J.Virgil,5.606161,0.32977417
2022,J.Waddle,78.44185,4.6142263
2022,J.Ward,-1.5324593,0.0
2022,J.Warren,19.001364,1.1177273
2022,J.Washington,-0.32063922,0.0
2022,J.Wilkins,-4.062833,0.0
2022,J.Williams,-22.313366,0.0
2022,J.Wilson,-2.8192906,0.0
2022,J.Winfree,-0.99848306,0.0
2022,J.Winston,-17.270317,0.0
2022,J.Wolford,-17.69304,0.0
2022,J.Woods,5.269305,0.30995914
2022,Ja.Williams,-26.947615,0.0
2022,Ju.Watson,11.164801,0.656753
2022,K.Allen,-18.087547,0.0
2022,K.Blanton,1.9455287,0.11444287
2022,K.Blasingame,-0.5554934,0.0
2022,K.Bourne,11.759436,0.6917315
2022,K.Cole,6.3162913,0.37154654
2022,K.Cousins,32.165966,1.8921156
2022,K.Coutee,-3.7991643,0.0
2022,K.Drake,-18.42328,0.0
2022,K.Gainwell,20.491022,1.2053542
2022,K.Golladay,-1.7573862,0.0
2022,K.Granson,-2.4764898,0.0
2022,K.Grugier-Hill,2.864477,0.16849864
2022,K.Hamler,1.038724,0.061101407
2022,K.Harris,-1.9409462,0.0
2022,K.Herbert,0.30811834,0.018124608
2022,K.Hill,0.5460712,0.032121833
2022,K.Hinton,16.585234,0.975602
2022,K.Hodge,13.562926,0.7978192
2022,K.Hunt,-14.032583,0.0
2022,K.Ingram,-12.450896,0.0
2022,K.Juszczyk,9.522888,0.5601699
2022,K.Kieft,4.0217314,0.23657243
2022,K.Kirkwood,-1.644436,0.0
2022,K.Murray,-5.3920956,0.0
2022,K.Nwangwu,-3.147947,0.0
2022,K.Osborn,25.691347,1.5112557
2022,K.Philips,-1.9355736,0.0
2022,K.Pickett,0.82128716,0.04831101
2022,K.Pitts,3.3775954,0.19868208
2022,K.Raymond,23.320673,1.3718042
2022,K.Rudolph,1.9392169,0.11407158
2022,K.Shakir,12.092433,0.71131957
2022,K.Smith,-1.4080293,0.0
2022,K.Toney,18.43565,1.08445
2022,K.Trask,-5.3325596,0.0
2022,K.Turpin,-1.6242137,0.0
2022,K.Vaughn,-3.3561842,0.0
2022,K.Walker,-25.326042,0.0
2022,K.White,2.5138223,0.1478719
2022,K.Williams,-5.9250402,0.0
2022,L.Cager,-6.10293,0.0
2022,L.Farrell,-0.6893499,0.0
2022,L.Fournette,-29.59657,0.0
2022,L.Humphrey,0.3196141,0.01880083
2022,L.Jackson,44.477287,2.616311
2022,L.McCutcheon,-4.0015974,0.0
2022,L.Murray,-13.838694,0.0
2022,L.Rountree,-5.7089467,0.0
2022,L.Shenault,12.810446,0.75355566
2022,L.Thomas,-8.530384,0.0
2022,L.Treadwell,-3.0994315,0.0
2022,L.Tunsil,-0.947,0.0
2022,M.Alexander,-0.66319275,0.0
2022,M.Alie-Cox,-1.5854378,0.0
2022,M.Allen,2.6432612,0.15548596
2022,M.Andrews,26.016037,1.5303551
2022,M.Bandy,-2.3061194,0.0
2022,M.Boone,-10.838896,0.0
2022,M.Boykin,-0.88037586,0.0
2022,M.Breida,2.673374,0.15725729
2022,M.Brown,-2.8360577,0.0
2022,M.Burton,-2.1833856,0.0
2022,M.Callaway,-6.1935964,0.0
2022,M.Davis,-0.7487006,0.0
2022,M.Dickson,-8.452353,0.0
2022,M.Evans,30.025597,1.7662115
2022,M.Farley,-4.0786285,0.0
2022,M.Forristall,-0.5086182,0.0
2022,M.Gallup,0.038935296,0.0022903115
2022,M.Gaskin,-9.264665,0.0
2022,M.Gesicki,0.16538167,0.009728334
2022,M.Goodwin,20.39022,1.1994247
2022,M.Gordon,-28.61485,0.0
2022,M.Hardman,21.372946,1.2572321
2022,M.Hollins,33.64483,1.9791076
2022,M.Ingram,-19.690239,0.0
2022,M.Johnson,-3.1018467,0.0
2022,M.Jones,-30.922594,0.0
2022,M.Kemp,1.2266613,0.07215655
2022,M.Kinsey,0.0048524463,0.00028543803
2022,M.Lewis,8.020597,0.47179985
2022,M.Mack,2.5538483,0.15022637
2022,M.Mariota,3.6179838,0.21282257
2022,M.Pittman,22.123877,1.3014045
2022,M.Pruitt,8.150616,0.479448
2022,M.Ryan,-57.1151,0.0
2022,M.Sanders,-0.15711403,0.0
2022,M.Schreck,-0.65550107,0.0
2022,M.Stafford,-31.650982,0.0
2022,M.Stewart,2.424545,0.1426203
2022,M.Strachan,-2.666045,0.0
2022,M.Thomas,16.696308,0.9821358
2022,M.Trubisky,-1.3488995,0.0
2022,M.Valdes-Scantling,25.368603,1.4922707
2022,M.Washington,-7.8023324,0.0
2022,M.White,-5.0520453,0.0
2022,M.Wilcox,9.238641,0.54344946
2022,M.Williams,32.314957,1.9008799
2022,M.Willis,-45.72399,0.0
2022,M.Woods,-9.264387,0.0
2022,Ma.Jones,6.378046,0.37517917
2022,Mi.Carter,-26.175606,0.0
2022,Mi.Thomas,-3.8829951,0.0
2022,N.Agholor,-12.491907,0.0
2022,N.Bellore,0.05243715,0.0030845383
2022,N.Brown,0.994905,0.058523823
2022,N.Chubb,22.242653,1.3083913
2022,N.Collins,-1.3270557,0.0
2022,N.Fant,19.759024,1.1622955
2022,N.Foles,-38.426872,0.0
2022,N.Gray,13.920944,0.81887907
2022,N.Harris,-26.265026,0.0
2022,N.Harry,8.584231,0.5049548
2022,N.Hines,-1.0067701,0.0
2022,N.Mullens,11.7073345,0.68866676
2022,N.Peterman,-5.3281984,0.0
2022,N.Sudfeld,-4.3800106,0.0
2022,N.Togiai,-0.64056355,0.0
2022,N.Vannett,1.2915955,0.0759762
2022,N.Webster,0.38132995,0.022431174
2022,N.Westbrook-Ikhine,2.519879,0.14822818
2022,O.Howard,-2.0430236,0.0
2022,O.Zaccheaus,23.206327,1.3650781
2022,P.Brown,-2.4887452,0.0
2022,P.Campbell,-5.701595,0.0
2022,P.Cooper,-1.2727367,0.0
2022,P.Dorsett,-4.245903,0.0
2022,P.Freiermuth,8.890448,0.5229675
2022,P.Hart,-1.8254062,0.0
2022,P.Hendershot,-2.04741,0.0
2022,P.Hesse,8.567914,0.50399494
2022,P.Lindsay,-3.284346,0.0
2022,P.Mahomes,229.74814,13.514596
2022,P.Ricard,-9.20258,0.0
2022,P.Sewell,1.0604486,0.06237933
2022,P.Strong,6.737402,0.39631775
2022,P.Taylor,0.7314836,0.043028444
2022,P.Walker,-18.500055,0.0
2022,Q.Cephus,2.9725595,0.17485644
2022,Q.Morris,0.45657927,0.026857603
2022,Q.Watkins,-17.410358,0.0
2022,R.Anderson,-7.144596,0.0
2022,R.Bateman,2.6476166,0.15574215
2022,R.Blackshear,2.1904845,0.12885202
2022,R.Bonnafon,-1.0740563,0.0
2022,R.Burkhead,-31.152098,0.0
2022,R.Cobb,22.564838,1.3273435
2022,R.Cracraft,1.4560175,0.08564809
2022,R.Dixon,5.386754,0.3168679
2022,R.Doubs,-1.8615113,0.0
2022,R.Dwelley,8.34285,0.49075586
2022,R.Freeman,-16.88975,0.0
2022,R.Gage,10.416412,0.61273015
2022,R.Gilliam,3.9299603,0.23117413
2022,R.Griffin,-7.9443197,0.0
2022,R.James,24.866226,1.4627192
2022,R.Jones,2.373972,0.13964541
2022,R.McCloud,16.269753,0.95704424
2022,R.McMath,-5.822956,0.0
2022,R.Moore,3.8200817,0.22471069
2022,R.Mostert,0.44739246,0.026317203
2022,R.Penny,14.213626,0.83609563
2022,R.Rivers,-4.0117025,0.0
2022,R.Rodgers,-2.890157,0.0
2022,R.Shaheed,35.638435,2.0963786
2022,R.Stevenson,-21.34489,0.0
2022,R.Tannehill,12.537977,0.7375281
2022,R.Tonyan,3.861894,0.22717023
2022,R.White,-6.489299,0.0
2022,R.Wilson,-42.102592,0.0
2022,R.Woods,8.946638,0.52627283
2022,R.Wright,-0.4092133,0.0
2022,S.Ahmed,3.4762282,0.20448402
2022,S.Anderson,-3.2955368,0.0
2022,S.Barkley,-21.11501,0.0
2022,S.Brown,-1.599677,0.0
