player_id,total_snaps,pass_snaps,run_snaps,total_pressures,total_tfls,pressure_generated,tfl_rate,player_name,position,team
00-0039142,699,418,281,68,28,0.16267942583732056,0.099644128113879,Will McDonald IV,DL,NYJ
00-0032401,683,384,299,62,20,0.16145833333333334,0.06688963210702341,De'Vondre Campbell,LB,SF
00-0034333,756,422,334,68,29,0.16113744075829384,0.08682634730538923,Daron Payne,DL,WAS
00-0036333,556,317,239,51,26,0.1608832807570978,0.1087866108786611,Alex Highsmith,LB,PIT
00-0035718,674,389,285,62,28,0.15938303341902313,0.09824561403508772,Quinnen Williams,DL,DAL
00-0034381,779,521,258,83,18,0.15930902111324377,0.06976744186046512,Josh Sweat,LB,ARI
00-0032052,605,358,247,57,22,0.15921787709497207,0.08906882591093117,Dante Fowler Jr.,DL,DAL
00-0033876,392,208,184,33,22,0.15865384615384615,0.11956521739130435,Derek Barnett,DL,HOU
00-0035678,576,341,235,54,14,0.15835777126099707,0.059574468085106386,Dre'Mont Jones,LB,BAL
00-0038553,1004,589,415,93,32,0.15789473684210525,0.07710843373493977,Daiyan Henley,LB,LAC
00-0037602,428,228,200,36,17,0.15789473684210525,0.085,Sam Okuayinonu,DL,SF
00-0037819,496,241,255,38,23,0.15767634854771784,0.09019607843137255,Leo Chenal,LB,KC
00-0026190,583,375,208,59,21,0.15733333333333333,0.10096153846153846,Calais Campbell,DL,ARI
00-0034285,716,439,277,69,28,0.1571753986332574,0.10108303249097472,Zach Sieler,DL,MIA
00-0036294,700,383,317,60,15,0.1566579634464752,0.0473186119873817,Logan Wilson,LB,DAL
00-0033131,687,404,283,63,15,0.15594059405940594,0.053003533568904596,Maliek Collins,DL,CLE
00-0035713,817,449,368,70,41,0.155902004454343,0.11141304347826086,Brian Burns,LB,NYG
00-0036954,651,398,253,62,24,0.15577889447236182,0.09486166007905138,Levi Onwuzurike,DL,DET
00-0038599,892,501,391,78,46,0.15568862275449102,0.11764705882352941,Henry To'oTo'o,LB,HOU
00-0035717,665,393,272,61,18,0.15521628498727735,0.0661764705882353,Nick Bosa,DL,SF
00-0036192,676,368,308,57,32,0.15489130434782608,0.1038961038961039,A.J. Epenesa,DL,BUF
00-0039734,660,414,246,64,23,0.15458937198067632,0.09349593495934959,Braden Fiske,DL,LA
00-0036643,600,344,256,53,23,0.15406976744186046,0.08984375,K.J. Britt,LB,MIA
00-0038096,569,352,217,54,19,0.1534090909090909,0.08755760368663594,Joshua Paschal,DL,DET
00-0034967,631,385,246,59,25,0.15324675324675324,0.1016260162601626,Rashan Gary,DL,GB
00-0033947,388,235,153,36,10,0.15319148936170213,0.06535947712418301,Deatrich Wise,DL,WAS
00-0039110,638,346,292,53,35,0.1531791907514451,0.11986301369863013,Keeanu Benton,DL,PIT
