game_id,TEN_OL,TEN_DL,ARI_OL,ARI_DL,LV_OL,LV_DL,BAL_OL,BAL_DL,CHI_OL,CHI_DL,LA_OL,LA_DL,CLE_OL,CLE_DL,KC_OL,KC_DL,TB_OL,TB_DL,DAL_OL,DAL_DL,NYG_OL,NYG_DL,DEN_OL,DEN_DL,NO_OL,NO_DL,GB_OL,GB_DL,HOU_OL,HOU_DL,JAX_OL,JAX_DL,LAC_OL,LAC_DL,WAS_OL,WAS_DL,NE_OL,NE_DL,MIA_OL,MIA_DL,MIN_OL,MIN_DL,CIN_OL,CIN_DL,NYJ_OL,NYJ_DL,CAR_OL,CAR_DL,ATL_OL,ATL_DL,PHI_OL,PHI_DL,BUF_OL,BUF_DL,PIT_OL,PIT_DL,IND_OL,IND_DL,SEA_OL,SEA_DL,DET_OL,DET_DL,SF_OL,SF_DL
2021_04_CLE_MIN,,,,,,,,,,,,,0.14314728599999998,0.41794364013018387,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14966616700000002,0.40758209892414715,,,,,,,,,,,,,,,,,,,,,,
2021_04_DET_CHI,,,,,,,,,0.25829977,0.4733490167229822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506244314,0.4667407907602359,,
2021_04_HOU_BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19299906,0.4232180456729264,,,,,,,,,,,,,,,,,,,,,,,0.76917664,0.433139272694494,,,,,,,,,,
2021_04_IND_MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111144696,0.5379189167637495,,,,,,,,,,,,,,,,,0.34926618400000004,0.48941210018584214,,,,,,
2021_04_JAX_CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1270910003,0.4398115548110916,,,,,,,,,,,0.394936579,0.4289135771894313,,,,,,,,,,,,,,,,,,,,
2021_04_KC_PHI,,,,,,,,,,,,,,,0.8642122099999999,0.434194486718256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63518946,0.42607828553476007,,,,,,,,,,,,
2021_04_LV_LAC,,,,,0.343427605,0.512620082234813,,,,,,,,,,,,,,,,,,,,,,,,,,,0.550552562,0.46181937076268864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_04_NYG_NO,,,,,,,,,,,,,,,,,,,,,0.072560679,0.48885392513694137,,,0.13760413800000001,0.4587650153958193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021_04_PIT_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47637829900000006,0.4434905838746845,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358206295,0.4361562741447028,,,,,,,,
2021_04_SEA_SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378874312,0.4514497953582637,,,0.594572231,0.4690845743490266
